Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2014-04-14,1834.19,1830.61,1815.8,1818.18,
2014-04-15,1844.02,1842.98,1816.29,1831.45,
2014-04-16,1862.31,1862.31,1846.01,1846.01,
2014-04-17,1869.63,1864.85,1856.72,1861.73,
2014-04-21,1871.89,1871.89,1863.18,1865.79,
2014-04-22,1884.89,1879.55,1872.57,1872.57,
2014-04-23,1879.75,1875.39,1873.91,1879.32,
2014-04-24,1884.06,1878.61,1870.24,1881.97,
2014-04-25,1877.72,1863.4,1859.7,1877.72,
2014-04-28,1877.01,1869.43,1850.61,1865.0,
2014-04-29,1880.6,1878.33,1870.78,1870.78,
2014-04-30,1885.2,1883.95,1872.69,1877.1,
2014-05-01,1888.59,1883.68,1878.04,1884.39,
2014-05-02,1891.33,1881.14,1878.5,1885.3,
2014-05-05,1885.51,1884.66,1866.77,1879.45,
2014-05-06,1883.69,1867.72,1867.72,1883.69,
2014-05-07,1878.83,1878.21,1859.79,1868.53,
2014-05-08,1889.07,1875.63,1870.05,1877.39,
2014-05-09,1878.57,1878.48,1867.02,1875.27,
2014-05-12,1897.13,1896.65,1880.03,1880.03,
2014-05-13,1902.17,1897.45,1896.06,1896.75,
2014-05-14,1897.13,1888.53,1885.77,1897.13,
2014-05-15,1888.16,1870.85,1862.36,1888.16,
2014-05-16,1878.28,1877.86,1864.82,1871.19,
2014-05-19,1886.0,1885.08,1872.42,1876.66,
2014-05-20,1884.88,1872.83,1868.14,1884.88,
2014-05-21,1888.8,1888.03,1873.34,1873.34,
2014-05-22,1896.33,1892.49,1885.39,1888.19,
2014-05-23,1901.26,1900.53,1893.32,1893.32,
2014-05-27,1912.28,1911.91,1902.01,1902.01,
2014-05-28,1914.46,1909.78,1907.3,1911.77,
2014-05-29,1920.03,1920.03,1909.82,1910.6,
2014-05-30,1924.03,1923.57,1916.64,1920.33,
2014-06-02,1925.88,1924.97,1915.98,1923.87,
2014-06-03,1925.07,1924.24,1918.79,1923.07,
2014-06-04,1928.63,1927.88,1918.6,1923.06,
