,window,ewm_window,sharpe_ratio
0,20,15,0.45031510662030283
1,20,20,0.47374527442600156
2,20,25,0.46887873444719236
3,20,30,0.48134730752557575
4,20,35,0.4825067064714456
5,20,40,0.48265505999278724
6,20,45,0.47759995787310366
7,20,50,0.493837693772529
8,20,55,0.47681413962849606
9,20,60,0.478576733965014
10,20,65,0.4921134828402393
11,20,70,0.5005544139896317
12,20,75,0.5027912341392731
13,20,80,0.5019068737668051
14,20,85,0.500833980305825
15,20,90,0.500518346371655
16,20,95,0.5020105412398931
17,20,100,0.5018820789634045
18,20,105,0.494429945616851
19,20,110,0.49318778359179954
20,20,115,0.4913197768327565
21,20,120,0.5431085548483915
22,20,125,0.5422230240557777
23,20,130,0.5353873499072683
24,20,135,0.5545937251332398
25,20,140,0.5538208379375598
26,20,145,0.5533441078931273
27,20,150,0.5568573719499966
28,20,155,0.5567233511501254
29,20,160,0.5586454879833543
30,20,165,0.5592621559346355
31,20,170,0.5606867229849514
32,20,175,0.5601464102488125
33,20,180,0.55758381548249
34,20,185,0.5570360942050252
35,20,190,0.5545112743472798
36,20,195,0.5517512084874739
37,25,15,0.4423472287213012
38,25,20,0.46204089781549773
39,25,25,0.4693807936899509
40,25,30,0.47602597111466705
41,25,35,0.47324283811224166
42,25,40,0.47766331139477886
43,25,45,0.4588972641759587
44,25,50,0.44924231241824925
45,25,55,0.4569515425627015
46,25,60,0.46593319520809734
47,25,65,0.4645039360060879
48,25,70,0.48344292949333156
49,25,75,0.4812880452085224
50,25,80,0.4787108957273997
51,25,85,0.4769208699182783
52,25,90,0.4777938308903735
53,25,95,0.4785990620583009
54,25,100,0.4771675544895615
55,25,105,0.4761615593132023
56,25,110,0.4727370101510821
57,25,115,0.4878278809689186
58,25,120,0.48924386026213995
59,25,125,0.49963802297424426
60,25,130,0.533649711262048
61,25,135,0.5345851311983164
62,25,140,0.5275818290172464
63,25,145,0.5296298767756363
64,25,150,0.5372741446191869
65,25,155,0.5371105160699268
66,25,160,0.5365836737168885
67,25,165,0.5365128633751767
68,25,170,0.5345642167594836
69,25,175,0.5358737318295657
70,25,180,0.5364419164582045
71,25,185,0.5376641628819057
72,25,190,0.5376000762317524
73,25,195,0.5331506392396405
74,30,15,0.4726155114002765
75,30,20,0.4849930952655527
76,30,25,0.4800367630250052
77,30,30,0.4944636295738701
78,30,35,0.48697545137628934
79,30,40,0.48593183440288606
80,30,45,0.47393853938741126
81,30,50,0.4521190126559824
82,30,55,0.4704512252163712
83,30,60,0.46737628408677145
84,30,65,0.48403550575390697
85,30,70,0.48259552062217004
86,30,75,0.48656399728648786
87,30,80,0.49080076590767263
88,30,85,0.4917055233003323
89,30,90,0.48915147701764283
90,30,95,0.4883677465606505
91,30,100,0.4884811578452461
92,30,105,0.48680219656747054
93,30,110,0.48712019835389275
94,30,115,0.5156700062479949
95,30,120,0.5123828144438001
96,30,125,0.5090832859176926
97,30,130,0.50858263897232
98,30,135,0.5081636803992826
99,30,140,0.5057198345703257
100,30,145,0.5056098385139214
101,30,150,0.5117578873095217
102,30,155,0.5204803497676033
103,30,160,0.5205136427394199
104,30,165,0.5134245320492467
105,30,170,0.5127439815238506
106,30,175,0.5109474241072215
107,30,180,0.5501431191900287
108,30,185,0.5533883153151216
109,30,190,0.5517950610618877
110,30,195,0.5518348926684099
111,35,15,0.46261440637695894
112,35,20,0.4669381213446074
113,35,25,0.47947551004525313
114,35,30,0.4713814609234294
115,35,35,0.470078276857161
116,35,40,0.46748264232373615
117,35,45,0.4576114808838024
118,35,50,0.44779000496946353
119,35,55,0.45220762743511805
120,35,60,0.44952491041837034
121,35,65,0.4577145248819239
122,35,70,0.4571431229526493
123,35,75,0.46593302064285524
124,35,80,0.47377538023636917
125,35,85,0.47181246854290304
126,35,90,0.4707705655571166
127,35,95,0.4735757855277801
128,35,100,0.47184917487661804
129,35,105,0.481425453693985
130,35,110,0.4840208903808372
131,35,115,0.4940278818938679
132,35,120,0.49331124655304204
133,35,125,0.49285070708114836
134,35,130,0.49350529453813435
135,35,135,0.4895237974334605
136,35,140,0.48902964548332206
137,35,145,0.4893087578850791
138,35,150,0.492813423455863
139,35,155,0.49992535866291604
140,35,160,0.49832782725232444
141,35,165,0.4986686135790686
142,35,170,0.4969730115992581
143,35,175,0.500977505987313
144,35,180,0.49994523229966076
145,35,185,0.5017234463827442
146,35,190,0.5013816020527944
147,35,195,0.4931690871601091
148,40,15,0.46536598098835275
149,40,20,0.4694194117319492
150,40,25,0.48473513461977746
151,40,30,0.46749520251506976
152,40,35,0.47114367141807617
153,40,40,0.4671250017231735
154,40,45,0.45866200738132246
155,40,50,0.45990124492341383
156,40,55,0.45662056732846024
157,40,60,0.4594784917389926
158,40,65,0.4586962642699595
159,40,70,0.45916124740928405
160,40,75,0.45058362397590623
161,40,80,0.4669191052172911
162,40,85,0.46748298926019854
163,40,90,0.4778971645179279
164,40,95,0.4810407946000978
165,40,100,0.4805853285047518
166,40,105,0.4851685708853691
167,40,110,0.49539601157515356
168,40,115,0.4948688008722754
169,40,120,0.4919712600835431
170,40,125,0.49140431509706817
171,40,130,0.4899868627293148
172,40,135,0.48907806672926835
173,40,140,0.4850796720442652
174,40,145,0.48073866617452554
175,40,150,0.47975266143117395
176,40,155,0.47742779828703485
177,40,160,0.48095487228791584
178,40,165,0.4806685408720677
179,40,170,0.4793388438551214
180,40,175,0.47997072219578263
181,40,180,0.4808529155705441
182,40,185,0.4816013196466566
183,40,190,0.48755078306898153
184,40,195,0.4894589281130461
185,45,15,0.46137310945122467
186,45,20,0.4728308883814271
187,45,25,0.47965595944950135
188,45,30,0.4706886001340637
189,45,35,0.46151253109329726
190,45,40,0.4622247517479043
191,45,45,0.45163684173364965
192,45,50,0.44306848205099203
193,45,55,0.4556007066501746
194,45,60,0.4511175974313507
195,45,65,0.4496266299068992
196,45,70,0.44621925318397015
197,45,75,0.45509045030621115
198,45,80,0.4654799189034687
199,45,85,0.4782392839657413
200,45,90,0.47937931040653586
201,45,95,0.4805002382868073
202,45,100,0.4795175680845752
203,45,105,0.478603964605629
204,45,110,0.4879176500773686
205,45,115,0.47917556253190696
206,45,120,0.47940058168061683
207,45,125,0.47929806588403107
208,45,130,0.4755635834138782
209,45,135,0.4764346942518708
210,45,140,0.4748890604198859
211,45,145,0.4756634416969544
212,45,150,0.47568488892788496
213,45,155,0.4723813816349107
214,45,160,0.4764477984378253
215,45,165,0.475155660883172
216,45,170,0.4747191925777758
217,45,175,0.47322610484844585
218,45,180,0.4748839068926758
219,45,185,0.47520832210915404
220,45,190,0.48208492643816575
221,45,195,0.48172019504372826
222,50,15,0.4604610484017048
223,50,20,0.47197074676219003
224,50,25,0.47550196120332966
225,50,30,0.4649662024287979
226,50,35,0.4658530851612058
